time_s,clean_after_pga_uV,ideal_decimated_uV,adc_out_uV,error_uV,fifo_spi_code_int24
6.039999999999999813e-01,-2.736073702366256839e+03,-7.818007338074311519e+03,-7.812500000000000000e+03,5.507338074311681986e+00,-1.310720000000000000e+06
6.079999999999999849e-01,-2.099035804745386997e+02,-5.613384748842345289e+03,-4.687500000000000909e+03,9.258847488423449477e+02,-7.864320000000000000e+05
6.119999999999999885e-01,2.492794380861200352e+03,-3.420978073589497853e+03,-3.125000000000000000e+03,2.959780735894979102e+02,-5.242880000000000000e+05
6.159999999999999920e-01,5.247004566339980556e+03,-1.098301991855242477e+03,-1.562500000000000000e+03,-4.641980081447575230e+02,-2.621440000000000000e+05
6.199999999999999956e-01,7.930194819230737266e+03,1.672182341870355458e+03,1.562500000000000000e+03,-1.096823418703554296e+02,2.621440000000000000e+05
6.239999999999999991e-01,1.042805266133987971e+04,4.460574306677479399e+03,4.687500000000000909e+03,2.269256933225211412e+02,7.864320000000000000e+05
6.280000000000000027e-01,1.263955330349510587e+04,6.813329331764688504e+03,6.250000000000000000e+03,-5.633293317646881633e+02,1.048576000000000000e+06
6.320000000000000062e-01,1.448112620252751913e+04,8.873562406449980699e+03,9.375000000000001819e+03,5.014375935500203241e+02,1.572864000000000000e+06
6.360000000000000098e-01,1.588974624323691387e+04,1.067366038887216564e+04,1.093750000000000182e+04,2.638396111278359513e+02,1.835008000000000000e+06
6.400000000000000133e-01,1.682484233383699757e+04,1.198592732508518566e+04,1.093750000000000182e+04,-1.048427325085183838e+03,1.835008000000000000e+06
6.440000000000000169e-01,1.726898614390318835e+04,1.297515405648989690e+04,1.406250000000000000e+04,1.087345943510103325e+03,2.359296000000000000e+06
6.480000000000000204e-01,1.722739266615947054e+04,1.336529926409191103e+04,1.250000000000000000e+04,-8.652992640919097767e+02,2.097152000000000000e+06
6.520000000000000240e-01,1.672632822507906167e+04,1.330638296939368229e+04,1.406250000000000000e+04,7.561170306063183943e+02,2.359296000000000000e+06
6.560000000000000275e-01,1.581057690028823345e+04,1.298251551922430917e+04,1.250000000000000000e+04,-4.825155192243087185e+02,2.097152000000000000e+06
6.600000000000000311e-01,1.454016013964385456e+04,1.196203510696345620e+04,1.250000000000000000e+04,5.379648930365441402e+02,2.097152000000000000e+06
6.640000000000000346e-01,1.298653447176335067e+04,1.077283096830249815e+04,1.093750000000000182e+04,1.646690316975032431e+02,1.835008000000000000e+06
6.680000000000000382e-01,1.122850747369744568e+04,9.226309544159668803e+03,9.375000000000001819e+03,1.486904558403324188e+02,1.572864000000000000e+06
6.720000000000000417e-01,9.348112255362661017e+03,7.513702872154238321e+03,6.250000000000000000e+03,-1.263702872154237866e+03,1.048576000000000000e+06
6.760000000000000453e-01,7.426666390622966901e+03,5.404728689249651325e+03,6.250000000000000000e+03,8.452713107503489027e+02,1.048576000000000000e+06
6.800000000000000488e-01,5.541214038484875346e+03,3.479702337504070783e+03,3.125000000000000000e+03,-3.547023375040703854e+02,5.242880000000000000e+05
6.840000000000000524e-01,3.761512293370045882e+03,1.795050991998868994e+03,1.562500000000000000e+03,-2.325509919988688807e+02,2.621440000000000000e+05
6.879999999999999449e-01,2.147677499008454106e+03,2.169754457924283031e+02,0.000000000000000000e+00,-2.169754457924283031e+02,0.000000000000000000e+00
6.919999999999999485e-01,7.485576503559751700e+02,-1.259617611198040322e+03,0.000000000000000000e+00,1.259617611198040322e+03,0.000000000000000000e+00
6.959999999999999520e-01,-3.991534626803938863e+02,-3.102557373270488370e+03,-3.125000000000000000e+03,-2.244262672951172632e+01,-5.242880000000000000e+05
6.999999999999999556e-01,-1.271092680455088839e+03,-4.595053492518749408e+03,-4.687500000000000909e+03,-9.244650748125096129e+01,-7.864320000000000000e+05
7.039999999999999591e-01,-1.854769168408756059e+03,-5.355487560352312357e+03,-6.250000000000000000e+03,-8.945124396476880975e+02,-1.048576000000000000e+06
7.079999999999999627e-01,-2.148580322076548782e+03,-6.029032831623004313e+03,-6.250000000000000000e+03,-2.209671683769962272e+02,-1.048576000000000000e+06
7.119999999999999662e-01,-2.160434988635288846e+03,-6.339419110056830505e+03,-6.250000000000000000e+03,8.941911005683027724e+01,-1.048576000000000000e+06
7.159999999999999698e-01,-1.906130042023746228e+03,-6.402918789912225293e+03,-6.250000000000000000e+03,1.529187899122251793e+02,-1.048576000000000000e+06
7.199999999999999734e-01,-1.407627704888694097e+03,-5.624486290690106216e+03,-4.687500000000000909e+03,9.369862906901055339e+02,-7.864320000000000000e+05
7.239999999999999769e-01,-6.913712769102053244e+02,-4.915679588786543718e+03,-6.250000000000000000e+03,-1.334320411213456509e+03,-1.048576000000000000e+06
7.279999999999999805e-01,2.132426395178233349e+02,-4.479704430461291849e+03,-3.125000000000000000e+03,1.354704430461291622e+03,-5.242880000000000000e+05
7.319999999999999840e-01,1.275144807978141898e+03,-3.518581584762144757e+03,-4.687500000000000909e+03,-1.168918415237855925e+03,-7.864320000000000000e+05
